Table 1 List Notes,Soil Metals Notes,"Soil TPHs, BTEX & Organic Notes",VOCs Notes,SVOCs Notes,Soil Pesticides and PCBs Notes,Other Inorganic Notes,GW Metals Notes,"GW TPHs, BTEX & Organic Notes",GW VOCs Notes,GW SVOCs Notes,GW Pesticides and PCBs Notes,GW Other Inorganics Notes,Soil Vapor VOCs Notes,SW9045C_Corr Notes
"Cu=Copper, Pb=Lead, Hg=Mercury, Mo=Molybdenum, Ni=Nickel, Se=Selenium, Ag=Silver, Tl=Thallium, V=Vanadium; and Zn=Zinc.","ESL - Commercial = Soil ESLs for Direct Exposure Human Health Risk Levels - Commercial/Industrial Shallow Soil (Rev. 2, July 2019).",RWQCB Construction Worker ESLs = ESLs for Direct Exposure Soil Screening Levels Construction Worker,"Exposure Scenario, Any Land Use, and Any Soil Depth (Rev. 2, July 2019).","Exposure Scenario, Any Land Use, and Any Soil Depth, February 2016 (Rev. 2, July 2019).",DTSC's SLs - Residential = California Department of Toxic Substances Control - Screening Levels for residential,"Exposure Scenario, Any Land Use, and Any Soil Depth (Rev. 2, July 2019).",,,,,,,"Exposure Scenario, Any Land Use, and Any Soil Depth, February 2016 (Rev. 2, July 2019).",
Cr+6 = Chromium VI by USEPA Method 7199.,RWQCB Construction Worker ESLs = ESLs for Direct Exposure Soil Screening Levels Construction Worker,"Exposure Scenario, Any Land Use, and Any Soil Depth, February 2016 (Rev. 2, July 2019).",DTSC's SLs - Residential = California Department of Toxic Substances Control - Screening Levels for residential,DTSC's SLs - Residential = California Department of Toxic Substances Control - Screening Levels for residential,"scenario, June 2020.",DTSC's SLs - Residential = California Department of Toxic Substances Control - Screening Levels for residential,,,,,,,DTSC's SLs - Residential = California Department of Toxic Substances Control - Screening Levels for residential,
WET = California Waste Extraction Test.,"Exposure Scenario, Any Land Use, and Any Soil Depth (Rev. 2, July 2019).",DTSC's SLs - Residential = California Department of Toxic Substances Control - Screening Levels for residential,"scenario, June 2020.","scenario, June 2020.",DTSC's SLs - Commerical = California Department of Toxic Substances Control - Screening Levels for commerical,"scenario, June 2020.",,,,,,,"scenario, June 2020.",
TCLP = United States Environmental Protection Agency's Toxicity Characteristic Leaching Procedure.,DTSC's SLs - Residential = California Department of Toxic Substances Control - Screening Levels for residential,"scenario, June 2020.",DTSC's SLs - Commerical = California Department of Toxic Substances Control - Screening Levels for commerical,DTSC's SLs - Commerical = California Department of Toxic Substances Control - Screening Levels for commerical,"scenario, June 2020.",DTSC's SLs - Commerical = California Department of Toxic Substances Control - Screening Levels for commerical,,,,,,,DTSC's SLs - Commerical = California Department of Toxic Substances Control - Screening Levels for commerical,
CN- = Cyanide analyses by USEPA Method SM4500-CN.,"scenario, June 2020.",DTSC's SLs - Commerical = California Department of Toxic Substances Control - Screening Levels for commerical,"scenario, June 2020.","scenario, June 2020.","CHHSLs = California Human Health Screening Levels (CHHSLs) for residential scenario, September 2010","scenario, June 2020.",,,,,,,"scenario, June 2020.",
pH = pH analyses by USEPA Method 9045D.,DTSC's SLs - Commerical = California Department of Toxic Substances Control - Screening Levels for commerical,"scenario, June 2020.","CHHSLs = California Human Health Screening Levels (CHHSLs) for residential scenario, September 2010","CHHSLs = California Human Health Screening Levels (CHHSLs) for residential scenario, September 2010",Hazardous Waste and Recycling Facility Acceptance Criteria:,"CHHSLs = California Human Health Screening Levels (CHHSLs) for residential scenario, September 2010",,,,,,,"CHHSLs = California Human Health Screening Levels (CHHSLs) for residential scenario, September 2010",
CH4 = Methane by field measurements,"scenario, June 2020.","CHHSLs = California Human Health Screening Levels (CHHSLs) for residential scenario, September 2010",Hazardous Waste and Recycling Facility Acceptance Criteria:,Hazardous Waste and Recycling Facility Acceptance Criteria:,STLC = California Souble Threshold Limit Concentration,Hazardous Waste and Recycling Facility Acceptance Criteria:,,,,,,,Black bold denotes the respective concentration above the detected limit,
TSS = Total suspended soilds by Standard Methods 2540D.,"CHHSLs = California Human Health Screening Levels (CHHSLs) for residential scenario, September 2010",Hazardous Waste and Recycling Facility Acceptance Criteria:,STLC = California Souble Threshold Limit Concentration,STLC = California Souble Threshold Limit Concentration,TTLC = California Total Threshold Limit Concentration,STLC = California Souble Threshold Limit Concentration,,,,,,,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,
COD = Chemical oxygen deman by Standard Methods 5220D.,Hazardous Waste and Recycling Facility Acceptance Criteria:,STLC = California Souble Threshold Limit Concentration,TTLC = California Total Threshold Limit Concentration,TTLC = California Total Threshold Limit Concentration,TCLP = United States Environmental Protection Agency's Toxicity Characteristic Leaching Procedure,TTLC = California Total Threshold Limit Concentration,,,,,,,Min = Minimum Concentration. Max = Maximum Concentration.,
O&G = Total recoverable oil and grease by USEPA Method 1664.,STLC = California Souble Threshold Limit Concentration,TTLC = California Total Threshold Limit Concentration,TCLP = United States Environmental Protection Agency's Toxicity Characteristic Leaching Procedure,TCLP = United States Environmental Protection Agency's Toxicity Characteristic Leaching Procedure,"Baylands Soil Processing = Acceptance Criteria as listed in Bayland Soil Processing's Acceptance Guidelines,",TCLP = United States Environmental Protection Agency's Toxicity Characteristic Leaching Procedure,,,,,,,"Ave: Approximate Arithmatic Average Concentration (for concentration reported as below detection limit,",
Lead = Lead by EPA 6000 Series.,TTLC = California Total Threshold Limit Concentration,TCLP = United States Environmental Protection Agency's Toxicity Characteristic Leaching Procedure,"Baylands Soil Processing = Acceptance Criteria as listed in Bayland Soil Processing's Acceptance Guidelines,","Baylands Soil Processing = Acceptance Criteria as listed in Bayland Soil Processing's Acceptance Guidelines,","April 2014 by Baylands Processing, Bisbane, California.","Baylands Soil Processing = Acceptance Criteria as listed in Bayland Soil Processing's Acceptance Guidelines,",,,,,,,the full detection limit was employed for the average estimation).,
Asb = Asbestos analyses by Air Resources Board's Method 435.,TCLP = United States Environmental Protection Agency's Toxicity Characteristic Leaching Procedure,"Baylands Soil Processing = Acceptance Criteria as listed in Bayland Soil Processing's Acceptance Guidelines,","April 2014 by Baylands Processing, Bisbane, California.","April 2014 by Baylands Processing, Bisbane, California.",Lennar Urban - Candlestick Point Redevelopment is data evaluation criteria listed in Section 3.2.3 of,"April 2014 by Baylands Processing, Bisbane, California.",,,,,,,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,
RCI by USEPA Methods 846 Chapter 7.,"Baylands Soil Processing = Acceptance Criteria as listed in Bayland Soil Processing's Acceptance Guidelines,","April 2014 by Baylands Processing, Bisbane, California.",Lennar Urban - Candlestick Point Redevelopment is data evaluation criteria listed in Section 3.2.3 of,Lennar Urban - Candlestick Point Redevelopment is data evaluation criteria listed in Section 3.2.3 of,"""Draft Soil Import Protocol, Candlestick Point Redevelopment Project San Francisco, California""",Lennar Urban - Candlestick Point Redevelopment is data evaluation criteria listed in Section 3.2.3 of,,,,,,,,
Cl = Chloride by Standard Method E300.1.,"April 2014 by Baylands Processing, Bisbane, California.",Lennar Urban - Candlestick Point Redevelopment is data evaluation criteria listed in Section 3.2.3 of,"""Draft Soil Import Protocol, Candlestick Point Redevelopment Project San Francisco, California""","""Draft Soil Import Protocol, Candlestick Point Redevelopment Project San Francisco, California""","prepared by Geosyntec Consultants, and dated February 19, 2014.","""Draft Soil Import Protocol, Candlestick Point Redevelopment Project San Francisco, California""",,,,,,,,
Analyses were conducted on filtered grab groundwater samples. Filteration was performed at the laboratory immediately upon receipt,Lennar Urban - Candlestick Point Redevelopment is data evaluation criteria listed in Section 3.2.3 of,"""Draft Soil Import Protocol, Candlestick Point Redevelopment Project San Francisco, California""","prepared by Geosyntec Consultants, and dated February 19, 2014.","prepared by Geosyntec Consultants, and dated February 19, 2014.",Black bold denotes the respective concentration above the detected limit,"prepared by Geosyntec Consultants, and dated February 19, 2014.",,,,,,,,
of samples using 0.45 micron filter,"""Draft Soil Import Protocol, Candlestick Point Redevelopment Project San Francisco, California""","prepared by Geosyntec Consultants, and dated February 19, 2014.",Black bold denotes the respective concentration above the detected limit,Black bold denotes the respective concentration above the detected limit,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,Black bold denotes the respective concentration above the detected limit,,,,,,,,
"Encore sampling will be used for collecting soil samples for TPHs-G/BTEX/MTBE, and VOCs analyses. The final selection on the soil sample","prepared by Geosyntec Consultants, and dated February 19, 2014.","The listed value is the lowest of the versions of the ESLs, CHHSLs, and RSLs criteria listed in Section 3.2.3.",Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,Orange bold denotes the respective concentration of the WET analysis above the STLC hazardous waste criteria listed above.,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,,,,,,,,
that is subject to laboratory analyses will be based on the PID soil gas results of individual soil samples of each compositing group.,"The listed value is the lowest of the versions of the ESLs, CHHSLs, and RSLs criteria listed in Section 3.2.3.",Black bold denotes the respective concentration above the detected limit,Orange bold denotes the respective concentration of the WET analysis above the STLC hazardous waste criteria listed above.,Orange bold denotes the respective concentration of the WET analysis above the STLC hazardous waste criteria listed above.,Red bold denotes the respective concentration above at least one of the hazardous waste criteria listed above.,Orange bold denotes the respective concentration of the WET analysis above the STLC hazardous waste criteria listed above.,,,,,,,,
,Black bold denotes the respective concentration above the detected limit,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,Red bold denotes the respective concentration above at least one of the hazardous waste criteria listed above.,Red bold denotes the respective concentration above at least one of the hazardous waste criteria listed above.,Min = Minimum Concentration. Max = Maximum Concentration.,Red bold denotes the respective concentration above at least one of the hazardous waste criteria listed above.,,,,,,,,
,Blue bold denotes the respective concentration above at least one of the health regulatory criteria listed above.,Orange bold denotes the respective concentration of the WET analysis above the STLC hazardous waste criteria listed above.,Min = Minimum Concentration. Max = Maximum Concentration.,Min = Minimum Concentration. Max = Maximum Concentration.,"Ave: Approximate Arithmatic Average Concentration (for concentration reported as below detection limit,",Min = Minimum Concentration. Max = Maximum Concentration.,,,,,,,,
,Orange bold denotes the respective concentration of the WET analysis above the STLC hazardous waste criteria listed above.,Red bold denotes the respective concentration above at least one of the hazardous waste criteria listed above.,"Ave: Approximate Arithmatic Average Concentration (for concentration reported as below detection limit,","Ave: Approximate Arithmatic Average Concentration (for concentration reported as below detection limit,",the full detection limit was employed for the average estimation).,"Ave: Approximate Arithmatic Average Concentration (for concentration reported as below detection limit,",,,,,,,,
,Red bold denotes the respective concentration above at least one of the hazardous waste criteria listed above.,Min = Minimum Concentration. Max = Maximum Concentration.,the full detection limit was employed for the average estimation).,the full detection limit was employed for the average estimation).,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,the full detection limit was employed for the average estimation).,,,,,,,,
,Min = Minimum Concentration. Max = Maximum Concentration.,"Ave: Approximate Arithmatic Average Concentration (for concentration reported as below detection limit,",NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,,,,,,,,
,"Ave = Approximate Arithmatic Average Concentration (for concentration reported as below detection limit,",NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,,,,,,,,,,,,
,the full detection limit was employed for the average estimation).,,,,,,,,,,,,,
,NA = Not Available; ND = Not detected at concentrations above the respective detection limit(s).,,,,,,,,,,,,,
,"For asbestos, ND = No asbestos fiber dectected.",,,,,,,,,,,,,
